id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,rollout width,102,23,27,54,427,ship,baseline,monotonic-signal,raise-signal
m002,g002,quota pressure,68,44,39,46,289,ship,edge,drag-penalty,drop-slack
m003,g003,route drift,59,74,12,73,421,ship,recovery,confidence-floor,raise-drag
m004,g004,secret scope,58,16,10,51,285,ship,negative,lane-boundary,lower-confidence
m005,g005,rollout width,70,24,14,21,307,ship,baseline,monotonic-signal,raise-signal
m006,g006,quota pressure,66,55,18,90,410,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,116,19,49,43,398,ship,recovery,confidence-floor,raise-drag
m008,g008,secret scope,57,33,14,11,263,ship,negative,lane-boundary,lower-confidence
m009,g009,rollout width,84,43,22,62,418,ship,baseline,monotonic-signal,raise-signal
m010,g010,quota pressure,43,39,28,43,209,ship,edge,drag-penalty,drop-slack
m011,g011,route drift,31,56,39,81,200,ship,recovery,confidence-floor,raise-drag
m012,g012,secret scope,72,62,36,48,352,ship,negative,lane-boundary,lower-confidence
m013,g013,rollout width,105,32,19,99,526,ship,baseline,monotonic-signal,raise-signal
m014,g014,quota pressure,68,9,32,36,230,ship,edge,drag-penalty,drop-slack
m015,g015,route drift,101,16,26,52,410,ship,recovery,confidence-floor,raise-drag
m016,g016,secret scope,33,52,14,9,203,ship,negative,lane-boundary,lower-confidence
m017,g017,rollout width,100,72,13,97,602,ship,baseline,monotonic-signal,raise-signal
m018,g018,quota pressure,79,39,14,53,405,ship,edge,drag-penalty,drop-slack
m019,g019,route drift,33,76,23,79,294,ship,recovery,confidence-floor,raise-drag
m020,g020,secret scope,101,57,19,40,501,ship,negative,lane-boundary,lower-confidence
m021,g021,rollout width,104,50,43,45,432,ship,baseline,monotonic-signal,raise-signal
m022,g022,quota pressure,51,38,35,72,247,ship,edge,drag-penalty,drop-slack
m023,g023,route drift,33,51,40,63,177,ship,recovery,confidence-floor,raise-drag
m024,g024,secret scope,71,54,12,7,363,ship,negative,lane-boundary,lower-confidence
m025,g025,rollout width,103,9,24,89,447,ship,baseline,monotonic-signal,raise-signal
m026,g026,quota pressure,65,27,32,42,260,ship,edge,drag-penalty,drop-slack
m027,g027,route drift,98,55,44,23,393,ship,recovery,confidence-floor,raise-drag
m028,g028,secret scope,74,66,41,48,353,ship,negative,lane-boundary,lower-confidence
m029,g029,rollout width,74,39,45,42,281,ship,baseline,monotonic-signal,raise-signal
m030,g030,quota pressure,64,17,27,80,289,ship,edge,drag-penalty,drop-slack
